running on 6718 samples
training model...
trained model...
sample 154 correct/failed threshold, score = 0.397032
sample 155 correct, score = 0.311094
sample 156 correct, score = 0.356541
sample 157 correct, score = 0.344698
sample 158 correct/failed threshold, score = 0.467174
sample 159 correct/failed threshold, score = 0.521232
sample 160 correct, score = 0.284830
sample 161 correct/failed threshold, score = 0.582817
sample 162 correct, score = 0.130344
sample 163 correct, score = 0.251569
sample 164 correct/failed threshold, score = 0.472856
sample 165 correct, score = 0.148565
sample 166 correct/failed threshold, score = 0.531393
sample 167 correct, score = 0.358201
sample 168 incorrect/failed threshold, score = 1.455971
sample 169 correct, score = 0.188250
sample 170 correct, score = 0.174993
sample 171 correct/failed threshold, score = 0.489029
sample 172 correct/failed threshold, score = 0.555541
sample 173 incorrect/failed threshold, score = 0.874787
sample 174 correct, score = 0.330085
sample 175 correct/failed threshold, score = 0.637171
sample 176 correct/failed threshold, score = 0.391564
sample 177 incorrect/failed threshold, score = 0.729786
sample 178 correct/failed threshold, score = 0.455475
sample 179 correct/failed threshold, score = 0.483725
sample 180 incorrect/failed threshold, score = 0.838241
sample 181 incorrect/failed threshold, score = 0.818934
sample 182 incorrect/failed threshold, score = 1.097115
sample 183 incorrect/failed threshold, score = 0.709195
sample 184 correct, score = 0.342112
sample 185 correct/failed threshold, score = 0.393480
sample 186 correct, score = 0.350414
sample 187 incorrect/failed threshold, score = 1.147793
sample 188 correct/failed threshold, score = 0.568805
sample 189 correct, score = 0.231799
sample 190 correct/failed threshold, score = 0.598532
sample 191 correct/failed threshold, score = 0.514210
sample 192 incorrect/failed threshold, score = 1.037373
sample 193 correct/failed threshold, score = 0.429872
sample 194 incorrect/failed threshold, score = 1.275420
sample 195 incorrect/failed threshold, score = 1.076720
sample 196 correct/failed threshold, score = 0.628050
sample 197 incorrect/failed threshold, score = 1.049555
sample 198 incorrect/failed threshold, score = 0.823652
sample 199 correct/failed threshold, score = 0.550222
sample 200 correct/failed threshold, score = 0.516492
sample 201 incorrect/failed threshold, score = 0.810471
sample 202 incorrect/failed threshold, score = 0.789895
sample 203 incorrect/failed threshold, score = 1.065824
sample 204 correct/failed threshold, score = 0.407710
sample 205 correct, score = 0.368616
sample 206 correct, score = 0.159256
sample 207 correct/failed threshold, score = 0.437007
sample 208 correct, score = 0.325038
sample 209 incorrect/failed threshold, score = 0.751553
sample 210 correct, score = 0.208240
sample 211 correct/failed threshold, score = 0.497232
sample 212 correct/failed threshold, score = 0.625625
sample 213 incorrect/failed threshold, score = 0.763170
sample 214 correct, score = 0.240400
sample 215 correct/failed threshold, score = 0.667896
sample 216 correct, score = 0.172732
sample 217 correct/failed threshold, score = 0.556691
sample 218 correct/failed threshold, score = 0.487847
sample 219 incorrect/failed threshold, score = 0.926820
sample 220 correct/failed threshold, score = 0.668789
sample 221 correct/failed threshold, score = 0.593890
sample 222 correct/failed threshold, score = 0.556231
sample 223 correct/failed threshold, score = 0.389093
sample 224 correct, score = 0.357953
sample 225 correct, score = 0.178407
sample 226 correct/failed threshold, score = 0.566477
sample 227 correct, score = 0.220117
sample 228 incorrect/failed threshold, score = 1.286415
sample 229 correct/failed threshold, score = 0.647624
sample 230 correct/failed threshold, score = 0.416960
sample 231 correct, score = 0.245904
sample 232 correct, score = 0.233195
