0.30,510,0,3095,3113
0.31,561,0,3044,3113
0.32,620,0,2985,3113
0.33,695,0,2910,3113
0.34,754,0,2851,3113
0.35,807,0,2798,3113
0.36,862,0,2743,3113
0.37,916,0,2689,3113
0.38,970,0,2635,3113
0.39,1048,0,2557,3113
0.40,1121,0,2484,3113
0.41,1177,0,2428,3113
0.42,1258,0,2347,3113
0.43,1325,0,2280,3113
0.44,1408,0,2197,3113
0.45,1484,0,2121,3113
0.46,1555,0,2050,3113
0.47,1633,0,1972,3113
0.48,1726,0,1879,3113
0.49,1835,0,1770,3113
0.50,1954,0,1651,3113
0.51,2067,0,1538,3113
0.52,2177,0,1428,3113
0.53,2301,0,1304,3113
0.54,2414,0,1191,3113
0.55,2556,0,1049,3113
0.56,2701,0,904,3113
0.57,2833,0,772,3113
0.58,2975,0,630,3113
0.59,3121,5,484,3108
0.60,3244,29,361,3084
0.61,3325,69,280,3044
0.62,3375,151,230,2962
0.63,3418,244,187,2869
0.64,3444,342,161,2771
0.65,3464,447,141,2666
0.66,3482,568,123,2545
0.67,3496,702,109,2411
0.68,3515,834,90,2279
0.69,3523,956,82,2157
0.70,3529,1038,76,2075
0.71,3538,1149,67,1964
0.72,3541,1246,64,1867
0.73,3544,1357,61,1756
0.74,3545,1464,60,1649
0.75,3547,1557,58,1556
0.76,3549,1647,56,1466
0.77,3549,1730,56,1383
0.78,3550,1796,55,1317
0.79,3551,1865,54,1248
0.80,3553,1926,52,1187
0.81,3555,1992,50,1121
0.82,3556,2051,49,1062
0.83,3557,2095,48,1018
0.84,3558,2162,47,951
0.85,3560,2209,45,904
0.86,3563,2253,42,860
0.87,3563,2305,42,808
0.88,3565,2335,40,778
0.89,3566,2379,39,734
0.90,3566,2411,39,702
