running on 6718 samples
training model...
trained model...
sample 179 correct, score = 0.486705
sample 180 incorrect/failed threshold, score = 0.837091
sample 181 incorrect/failed threshold, score = 0.817525
sample 182 incorrect/failed threshold, score = 1.098235
sample 183 no tones detected, score = 0.708951
sample 184 correct, score = 0.345957
sample 185 correct, score = 0.394256
sample 186 correct, score = 0.351185
sample 187 incorrect/failed threshold, score = 1.149002
sample 188 correct, score = 0.571769
sample 189 correct, score = 0.229271
sample 190 correct, score = 0.599522
sample 191 correct, score = 0.515912
sample 192 incorrect/failed threshold, score = 1.033389
sample 193 correct, score = 0.430916
sample 194 incorrect/failed threshold, score = 1.271238
sample 195 incorrect/failed threshold, score = 1.076943
sample 196 correct, score = 0.616375
sample 197 incorrect/failed threshold, score = 1.046731
sample 198 incorrect/failed threshold, score = 0.826663
sample 199 correct, score = 0.550522
sample 200 correct, score = 0.516683
sample 201 incorrect/failed threshold, score = 0.810271
sample 202 incorrect/failed threshold, score = 0.789398
sample 203 incorrect/failed threshold, score = 1.066274
sample 204 correct, score = 0.408475
sample 205 correct, score = 0.369330
sample 206 correct, score = 0.163065
sample 207 correct, score = 0.439568
sample 208 correct, score = 0.325405
sample 209 incorrect/failed threshold, score = 0.749943
sample 210 correct, score = 0.212179
sample 211 correct, score = 0.497485
sample 212 correct, score = 0.626111
sample 213 incorrect/failed threshold, score = 0.762183
sample 214 correct, score = 0.239790
sample 215 correct, score = 0.657650
sample 216 correct, score = 0.168532
sample 217 correct, score = 0.557575
sample 218 correct, score = 0.491675
sample 219 incorrect/failed threshold, score = 0.923815
sample 220 correct, score = 0.668971
sample 221 correct, score = 0.594943
sample 222 correct, score = 0.556267
sample 223 correct, score = 0.389839
sample 224 correct, score = 0.359015
sample 225 correct, score = 0.174576
sample 226 correct, score = 0.566299
sample 227 correct, score = 0.220789
sample 228 incorrect/failed threshold, score = 1.286572
sample 229 correct, score = 0.647711
sample 230 correct, score = 0.417498
sample 231 correct, score = 0.246180
sample 232 correct, score = 0.237475
sample 233 correct, score = 0.517918
sample 234 correct, score = 0.170623
sample 235 incorrect/failed threshold, score = 1.452343
sample 236 correct, score = 0.383586
sample 237 correct/failed threshold, score = 0.746797
sample 238 correct, score = 0.261885
sample 239 incorrect/failed threshold, score = 1.343953
sample 240 incorrect/failed threshold, score = 0.789713
sample 241 incorrect/failed threshold, score = 1.084633
sample 242 correct, score = 0.393260
sample 243 correct, score = 0.320864
sample 244 correct, score = 0.480926
sample 245 correct, score = 0.389325
sample 246 correct, score = 0.259858
sample 247 incorrect/failed threshold, score = 1.212343
sample 248 correct, score = 0.228809
sample 249 incorrect/failed threshold, score = 0.769390
sample 250 correct, score = 0.565869
sample 251 correct, score = 0.425471
sample 252 correct, score = 0.477011
sample 253 no tones detected, score = 0.658639
sample 254 no tones detected, score = 0.665903
sample 255 correct, score = 0.439316
sample 256 correct, score = 0.374896
sample 257 correct, score = 0.374468
sample 258 correct/failed threshold, score = 0.883492
sample 259 correct, score = 0.402892
sample 260 correct, score = 0.472424
sample 261 correct, score = 0.301237
sample 262 correct, score = 0.552355
sample 263 correct, score = 0.554537
sample 264 correct, score = 0.482549
sample 265 correct, score = 0.530793
sample 266 no tones detected, score = 0.693394
sample 267 correct, score = 0.415832
sample 268 correct, score = 0.654723
sample 269 no tones detected, score = 0.649026
sample 270 correct, score = 0.237451
sample 271 correct, score = 0.384785
sample 272 correct, score = 0.264962
sample 273 correct/failed threshold, score = 0.988746
sample 274 incorrect/failed threshold, score = 0.779095
sample 275 correct, score = 0.325754
sample 276 incorrect/failed threshold, score = 0.731363
sample 277 correct, score = 0.610054
sample 278 correct, score = 0.496006
sample 279 correct, score = 0.343325
sample 280 no tones detected, score = 0.600458
sample 281 correct, score = 0.193596
sample 282 correct, score = 0.588308
sample 283 incorrect/failed threshold, score = 1.142968
sample 284 correct, score = 0.569388
sample 285 correct, score = 0.647455
sample 286 incorrect/failed threshold, score = 0.739303
sample 287 correct, score = 0.549344
sample 288 correct, score = 0.554825
sample 289 correct, score = 0.324213
sample 290 correct, score = 0.477653
sample 291 correct, score = 0.414169
sample 292 no tones detected, score = 0.687738
sample 293 correct, score = 0.329938
sample 294 correct, score = 0.162739
sample 295 correct, score = 0.522246
sample 296 correct, score = 0.596962
sample 297 correct, score = 0.252212
sample 298 correct, score = 0.493979
sample 299 incorrect/failed threshold, score = 1.151659
sample 300 incorrect/failed threshold, score = 0.730499
sample 301 correct, score = 0.233975
sample 302 correct, score = 0.597188
sample 303 correct, score = 0.393686
sample 304 correct, score = 0.438948
sample 305 incorrect/failed threshold, score = 1.082859
sample 306 correct, score = 0.445025
sample 307 no tones detected, score = 0.677343
sample 308 correct, score = 0.274762
sample 309 correct, score = 0.545627
sample 310 no tones detected, score = 0.632842
sample 311 correct, score = 0.451263
sample 312 correct, score = 0.519624
sample 313 correct, score = 0.417336
sample 314 incorrect/failed threshold, score = 0.767338
sample 315 no tones detected, score = 0.626389
sample 316 correct, score = 0.379588
sample 317 correct, score = 0.545791
sample 318 correct, score = 0.506890
sample 319 correct, score = 0.635324
sample 320 no tones detected, score = 0.677277
sample 321 correct, score = 0.219114
sample 322 correct, score = 0.425978
sample 323 correct, score = 0.302495
sample 324 correct, score = 0.564528
sample 325 incorrect/failed threshold, score = 0.847503
sample 326 incorrect/failed threshold, score = 1.299702
sample 327 correct, score = 0.087933
sample 328 correct, score = 0.405204
sample 329 correct, score = 0.563067
sample 330 correct, score = 0.413678
sample 331 no tones detected, score = 0.678023
sample 332 correct, score = 0.369716
sample 333 correct with 1 false positives, score = 0.713441
sample 334 correct, score = 0.157150
sample 335 no tones detected, score = 0.599931
sample 336 correct, score = 0.523451
sample 337 incorrect/failed threshold, score = 0.738483
sample 338 correct, score = 0.303333
sample 339 incorrect/failed threshold, score = 0.792057
sample 340 no tones detected, score = 0.684900
sample 341 correct, score = 0.141653
sample 342 no tones detected, score = 0.684664
sample 343 correct, score = 0.521870
sample 344 correct, score = 0.518540
sample 345 correct/failed threshold, score = 0.901713
sample 346 incorrect/failed threshold, score = 0.854307
sample 347 incorrect/failed threshold, score = 0.792371
sample 348 incorrect/failed threshold, score = 1.325148
sample 349 incorrect/failed threshold, score = 1.104616
sample 350 incorrect/failed threshold, score = 0.857023
sample 351 incorrect/failed threshold, score = 0.738145
sample 352 no tones detected, score = 0.694886
sample 353 incorrect/failed threshold, score = 0.742454
sample 354 incorrect/failed threshold, score = 0.734577
sample 355 no tones detected, score = 0.664146
sample 356 correct, score = 0.448402
sample 357 correct, score = 0.353885
sample 358 correct, score = 0.132437
sample 359 correct, score = 0.494576
sample 360 incorrect/failed threshold, score = 0.838546
sample 361 correct, score = 0.591545
sample 362 incorrect/failed threshold, score = 0.808055
sample 363 correct, score = 0.166787
sample 364 correct, score = 0.618484
sample 365 correct, score = 0.479020
sample 366 correct, score = 0.277376
sample 367 correct, score = 0.397180
sample 368 incorrect/failed threshold, score = 0.730202
sample 369 correct, score = 0.558484
sample 370 correct, score = 0.306568
sample 371 correct, score = 0.453461
sample 372 correct, score = 0.490730
sample 373 incorrect/failed threshold, score = 0.796498
sample 374 incorrect/failed threshold, score = 0.797718
sample 375 correct, score = 0.582677
sample 376 correct, score = 0.297854
sample 377 correct, score = 0.385086
sample 378 correct, score = 0.434001
sample 379 no tones detected, score = 0.656524
sample 380 correct, score = 0.564268
sample 381 correct, score = 0.388789
sample 382 correct, score = 0.602749
sample 383 no tones detected, score = 0.598566
sample 384 incorrect/failed threshold, score = 1.367775
sample 385 incorrect/failed threshold, score = 1.005464
sample 386 correct, score = 0.650369
sample 387 correct, score = 0.552046
sample 388 correct, score = 0.481566
sample 389 correct, score = 0.412317
sample 390 correct, score = 0.415854
sample 391 correct, score = 0.524084
sample 392 incorrect/failed threshold, score = 0.890526
sample 393 correct, score = 0.395022
sample 394 correct, score = 0.456387
sample 395 correct, score = 0.576332
sample 396 correct, score = 0.621490
sample 397 correct, score = 0.391962
sample 398 correct, score = 0.559191
sample 399 correct, score = 0.467801
sample 400 correct, score = 0.318615
sample 401 correct, score = 0.386451
sample 402 correct, score = 0.540681
sample 403 no tones detected, score = 0.594622
sample 404 no tones detected, score = 0.627449
sample 405 correct, score = 0.311849
sample 406 correct, score = 0.493396
sample 407 correct, score = 0.547605
sample 408 incorrect/failed threshold, score = 0.765923
sample 409 correct, score = 0.372933
sample 410 correct, score = 0.705274
sample 411 correct, score = 0.249502
sample 412 correct, score = 0.359193
sample 413 correct, score = 0.413994
sample 414 correct, score = 0.170378
sample 415 correct, score = 0.314912
sample 416 correct, score = 0.092876
sample 417 correct, score = 0.586070
sample 418 no tones detected, score = 0.645136
sample 419 correct, score = 0.410841
sample 420 correct, score = 0.369807
sample 421 correct, score = 0.295435
sample 422 incorrect/failed threshold, score = 1.393560
sample 423 correct, score = 0.359652
sample 424 correct, score = 0.498260
sample 425 correct, score = 0.451824
sample 426 correct, score = 0.184968
sample 427 incorrect/failed threshold, score = 0.748456
sample 428 incorrect/failed threshold, score = 0.744381
sample 429 correct, score = 0.506425
sample 430 correct, score = 0.575314
sample 431 correct with 1 false positives, score = 0.718790
sample 432 correct/failed threshold, score = 0.871123
sample 433 correct, score = 0.449661
sample 434 correct, score = 0.555579
sample 435 correct, score = 0.440609
sample 436 correct, score = 0.572281
sample 437 incorrect/failed threshold, score = 0.829739
sample 438 correct, score = 0.455822
sample 439 correct, score = 0.195868
sample 440 correct, score = 0.664498
sample 441 correct, score = 0.487387
sample 442 incorrect/failed threshold, score = 1.070391
sample 443 correct/failed threshold, score = 0.923323
sample 444 correct, score = 0.301050
sample 445 incorrect/failed threshold, score = 1.422660
sample 446 correct, score = 0.393993
sample 447 no tones detected, score = 0.635205
sample 448 correct, score = 0.621971
sample 449 correct, score = 0.659795
sample 450 incorrect/failed threshold, score = 0.771748
sample 451 incorrect/failed threshold, score = 0.815722
sample 452 correct, score = 0.573921
sample 453 correct, score = 0.304625
sample 454 correct, score = 0.341086
sample 455 correct, score = 0.653591
sample 456 correct, score = 0.418350
sample 457 no tones detected, score = 0.669096
sample 458 incorrect/failed threshold, score = 1.216460
sample 459 incorrect/failed threshold, score = 1.216136
sample 460 correct, score = 0.234596
sample 461 no tones detected, score = 0.624773
sample 462 correct, score = 0.328964
sample 463 correct, score = 0.138689
sample 464 correct, score = 0.320031
